sequenceNumber,date,moneyAccount,accountType,amount,counterparty,label,costCenter,source
654,2026-02-28,Coffre,PRODUITS,348.65,BLV,Équilibrage après comptage du coffre,INTERNE,écart du comptage du 2026-03-30
655,2026-03-31,Coffre,CHARGES,1.20,BLV,Équilibrage après comptage du coffre,INTERNE,écart du comptage du 2026-04-12
656,2026-04-12,Coffre,PRODUITS,141.65,BLV,Vidange crousille,INTERNE,historique_fond_de_caisse.xlsx · Comptage caisse (machine)
657,2026-04-12,Coffre,PRODUITS,465.00,BLV,Vidange caisse St-Roch,SVC,historique_fond_de_caisse.xlsx · Comptage caisse (machine)
658,2026-04-12,Coffre,PRODUITS,504.60,BLV,Vidange caisse Chéseaux,SVC,historique caisse partiel.txt + historique_fond_de_caisse.xlsx · Comptage caisse (machine)
659,2026-04-13,Coffre,CHARGES,495.00,BLV,Sortie du coffre vers la caisse,SEGRILL2,historique caisse partiel.txt
660,2026-04-16,Coffre,PRODUITS,1870.00,BLV,Entrées dans le coffre,SEGRILL2,historique caisse partiel.txt
661,2026-04-30,Coffre,CHARGES,468.90,BLV,Équilibrage après comptage du coffre,INTERNE,écart du comptage du 2026-05-05
662,2026-05-31,Coffre,PRODUITS,1755.95,BLV,Équilibrage après comptage du coffre,INTERNE,écart du comptage du 2026-06-30
663,2026-06-30,Coffre,PRODUITS,382.20,BLV,Entrée dans le coffre,SEGRILL3,historique caisse partiel.txt
664,2026-06-30,Coffre,PRODUITS,70.00,BLV,Entrée dans le coffre,SEGRILL3,historique caisse partiel.txt
